"burgerservicenummer","geslacht","voornamen","geslachtsnaam","geboortedatum","straat","huisnummer","postcode","woonplaats"
"999995601","V","Zoe","de Goede","19870401","Grotemarkt",22,"3011PA","Rotterdam"
"999995972","M","Hubertus","Nagelhout","19750606","Knuttelweg",9,"6718ZD","Ede"
"999997695","M","Kevin Sander","Meerman","20000606","Thorbeckelaan",16,"3552CS","Utrecht"
"999993288","M","Ruben","Dijkstra","19820707","Zonnedauwstraat",25,"7676CA","Westerhaar-Vriezenveensewijk"
"999991991","M","Jeroen","Altena","19840623","Lange Vijverberg",5,"2513AC","'s-Gravenhage"
"000009945","M","Pietje","Streeveld","19970203","J.C.Schröderstraat",1,"1068JT","Amsterdam"
"999990858","M","Lance","Smit","19500209","Mississippidreef",151,"3565CE","Utrecht"
"900194054","V","Tina-Antïna","de Bruin","19901211","Croeselaan",15,"3521BJ","Utrecht"
"999995844","M","Farid","Ghezala","19510101","Frederiksplein",1,"1017XK","Amsterdam"
"999991760","V","Angélie Francisca","Holthuizen","19310612","Lobelialaan",53,"2555PC","'s-Gravenhage"
"999991000","V","Lisette","voor in 't C","19900707","Hesselt v Dinterstr",1,"2631BR","Nootdorp"
"999997610","V","Estrella","de Jager","19940101","De Villeneuvestraat",24,"3053ZV","Rotterdam"
"999994335","M","Pepijn Floris","Holthuizen","19800526","Jonkheer van Riemsdijkln",88,"2497BV","'s-Gravenhage"
"999991929","V","Yvonne Johanna","Kierkegaard","19561115","Rodenrijselaan",15,"3037XB","Rotterdam"
"999994542","M","Gerrit","den Braber","19680318","Schakelstraat",14,"1014AW","Amsterdam"
"999994785","V","Anita","Jansen","19710101","Leyweg",1485,"2548AE","'s-Gravenhage"
"999997002","M","Jasper Roeland","van Duijn","19481209","Spui",18,"2511DD","'s-Gravenhage"
"999990421","M","Adrianus Hendrikus","Holthuizen","19040215","Nieuwe Parklaan",58,"2597LD","'s-Gravenhage"
"999997233","M","Rami","Hassanin","19950821","Oudegracht",21,"3511AA","Utrecht"
"999990676","V","Cornelia Francisca","Wiegman","19070203","Nieuwe Parklaan",58,"2597LD","'s-Gravenhage"
"999970410","M","Peterjan","Pluym","19760501","Turfmarkt",73,"2511CA","'s-Gravenhage"
"999990317","V","Christina","Deutekom","19450312","Coolsingel",5,"3011CC","Rotterdam"
"999991115","M","Martijn","du Burck","19570508","Houttuinen",49,"2551VN","'s-Gravenhage"
"999999527","V","Patricia","Peereboom","19830201","Turfmarkt",33,"2511CA","'s-Gravenhage"
"999999655","V","Astrid","Abels","19741216","Turfmarkt",39,"2511CA","'s-Gravenhage"
"999999126","V","Manon","Maasland","19880201","Turfmarkt",25,"2511CA","'s-Gravenhage"
"999996940","M","Wojciech","Partyka","19951208","Aalbersestraat",281,"1067MD","Amsterdam"
"999992260","M","Henk","Vermeulen","19400616","Malmöpad",24,"3067PW","Rotterdam"
"999993550","V","Christine","Jansen-de Groot","19870712","Kerkstraat",158,"1017GS","Amsterdam"
